time,A,B
0,1,0
0.2,0.86,0.13999999999999999
0.4,0.7396,0.26039999999999996
0.6000000000000001,0.6360560000000001,0.36394399999999993
0.8,0.5470081600000001,0.4529918399999999
1,0.47042701760000005,0.5295729824
1.2000000000000002,0.404567235136,0.595432764864
1.4000000000000001,0.34792782221696,0.6520721777830399
1.6,0.2992179271065856,0.7007820728934143
1.8,0.25732741731166364,0.7426725826883364
2,0.22130157888803073,0.7786984211119693
2.2,0.19031935784370643,0.8096806421562937
2.4000000000000004,0.16367464774558754,0.8363253522544125
2.6,0.1407601970612053,0.8592398029387948
2.8000000000000003,0.12105376947263655,0.8789462305273635
3,0.10410624174646743,0.8958937582535327
3.2,0.08953136790196199,0.9104686320980381
3.4000000000000004,0.07699697639568731,0.9230030236043127
3.6,0.06621739970029109,0.9337826002997089
3.8000000000000003,0.056946963742250334,0.9430530362577497
4,0.04897438881833529,0.9510256111816647
4.2,0.042117974383768346,0.9578820256162317
4.4,0.036221457970040775,0.9637785420299593
4.6000000000000005,0.031150453854235066,0.968849546145765
4.800000000000001,0.026789390314642156,0.9732106096853579
5,0.023038875670592256,0.9769611243294077
