time,A,B
0,1,0
0.2,0.8693586733333334,0.13064132666666667
0.4,0.7557845028998934,0.2442154971001066
0.6000000000000001,0.6570478127669441,0.34295218723305587
0.8,0.571210214823639,0.42878978517636107
1,0.4965865545535271,0.5034134454464729
1.2000000000000002,0.4317118282618253,0.5682881717381747
1.4000000000000001,0.3753124222800083,0.6246875777199917
1.6,0.3262811095188678,0.6737188904811322
1.8,0.28365531250505094,0.7163446874949491
2,0.24659820616334316,0.7534017938366568
2.2,0.21438228935654383,0.7856177106434562
2.4000000000000004,0.18637510266116772,0.8136248973388323
2.6,0.16202681199187657,0.8379731880081234
2.8000000000000003,0.14085941431768725,0.8591405856823127
3,0.12245735355773493,0.877542646442265
3.2,0.10645936242886339,0.8935406375711366
3.4000000000000004,0.0925513700850692,0.9074486299149308
3.6,0.08046033631233811,0.9195396636876619
3.8000000000000003,0.06994889123244809,0.9300511087675519
4,0.060810675282978705,0.9391893247170213
4.2,0.05286628798851449,0.9471337120114856
4.4,0.04595976598975289,0.9540402340102472
4.6000000000000005,0.03995552118756203,0.960044478812438
4.800000000000001,0.03473567889196082,0.9652643211080393
5,0.030197763718847727,0.9698022362811524
